price,room_type,neighbourhood_cleansed,property_type,host_is_superhost,instant_bookable,accommodates,bathrooms,bedrooms,beds,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,availability_30,availability_60,availability_90,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,total_reviews_count,days_since_last_review,reviews_last_30_days,reviews_last_90_days,reviews_last_180_days,has_recent_reviews,review_activity_score,host_experience_years,amenities_count,distance_to_center,host_response_rate_num,host_acceptance_rate_num,days_since_first_review,review_density,price_per_person,price_per_bedroom,beds_per_person,number_of_reviews_ltm,number_of_reviews_l30d
160,Entire home/apt,De Baarsjes - Oud-West,Entire rental unit,FALSE,FALSE,2,1,1,1,2,101,0.72,1,85,5,8,11,4.75,4.88,4.91,4.97,5,4.88,4.68,101,53,0,2,8,FALSE,2,12.071184120465434,53,4.205775791741581,1,0.23,4278,0.023609163160355308,80,160,0.5,9,0
225,Entire home/apt,Centrum-West,Entire rental unit,FALSE,FALSE,2,1,1,1,2,104,0.71,2,0,0,0,0,4.84,4.87,4.84,4.85,4.91,4.97,4.67,104,104,0,0,3,FALSE,0.5,12.062970568104038,26,2.622075870240685,1,0.64,4472,0.023255813953488372,112.5,225,0.5,4,0
162,Entire home/apt,Zuid,Entire condo,FALSE,FALSE,2,1,1,2,3,95,0.65,1,4,4,4,4,4.77,4.85,4.55,4.88,4.92,4.67,4.71,95,158,0,0,2,FALSE,0.3333333333333333,12.733744010951403,20,6.597758672951116,0.67,0.5,4481,0.021200624860522203,81,162,1,4,0
174,Entire home/apt,Watergraafsmeer,Entire townhouse,FALSE,FALSE,4,1,2,2,2,45,0.31,1,70,7,7,7,4.77,4.77,4.68,4.91,5,4.68,4.66,45,5,2,2,2,TRUE,2,12.186173853524982,52,3.5682543139893403,1,0.4,4428,0.01016260162601626,43.5,87,0.5,2,2
276,Entire home/apt,Centrum-Oost,Entire rental unit,FALSE,FALSE,2,1,1,1,2,61,0.42,1,236,0,0,0,4.8,4.82,4.57,4.87,4.67,4.82,4.63,61,80,0,1,5,FALSE,1.1666666666666667,12.008213552361397,24,2.0170593692056538,0,0.26,4417,0.013810278469549468,138,276,0.5,8,0
446,Entire home/apt,De Pijp - Rivierenbuurt,Entire condo,FALSE,FALSE,4,1.5,3,4,2,28,0.19,1,123,0,8,8,4.89,4.96,4.89,4.85,4.85,4.89,4.7,28,25,1,1,2,TRUE,1.1666666666666667,14.036960985626283,56,1.9884028924996073,0.9,0.5,4418,0.006337709370755998,111.5,148.66666666666666,1,2,1
94,Private room,Oud-Noord,Private room in home,FALSE,FALSE,2,1,1,1,1,2,0.41,1,220,4,20,39,2.5,3,2.5,2,2,4,2,2,94,0,0,2,FALSE,0.3333333333333333,11.942505133470226,8,3.6226504248266833,1,1,242,0.008264462809917356,47,94,0.5,2,0
553,Entire home/apt,De Pijp - Rivierenbuurt,Entire rental unit,FALSE,FALSE,4,1,2,2,2,48,0.35,1,59,13,29,59,4.96,4.9,4.92,4.96,4.96,4.92,4.58,48,723,0,0,0,FALSE,0,11.93429158110883,27,2.1885175035626747,1,0,4256,0.011278195488721804,138.25,276.5,0.5,0,0
150,Entire home/apt,Oud-Noord,Houseboat,FALSE,FALSE,2,1.5,1,1,3,124,0.86,1,160,0,0,2,4.84,4.89,4.69,4.88,4.93,4.84,4.7,124,17,1,3,3,TRUE,2,11.931553730321697,49,4.503328003077232,1,1,4423,0.028035270178611803,75,150,0.5,3,1
220,Entire home/apt,Centrum-West,Entire loft,FALSE,FALSE,2,1,1,1,3,75,0.52,1,4,4,4,4,4.83,4.84,4.83,4.95,4.9,5,4.73,75,123,0,0,2,FALSE,0.3333333333333333,11.931553730321697,41,1.7369726746553416,1,0.87,4438,0.01689950428120775,110,220,0.5,3,0
